jobNum,title,Link,shortCategory,longCategory,Department,Location,Agency,Posted Date
"367427","Senior Analyst - 367427","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=367427&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Asst Comm Bdgt & Clmng-Financ","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","10/02/2018"
"350249","Analyst - 350249","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=350249&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","SRM","MANHATTAN","ADMIN FOR CHILDREN'S SVCS","07/27/2018"
"246734","Compliance Review Unit Supervisor - 246734","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=246734&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Asst Comm Bdgt & Clmng-Financ","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","08/05/2016"
"230974","Best Practices Coach - 230974","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=230974&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Off Prev Tech Assistance (DPS)","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","08/04/2016"
"243640","Juvenile Justice Trainer - 243640","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=243640&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Satterwhite Academy (DPPM)","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","07/08/2016"
"243816","IT Infrastructure Project Manager - 243816","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=243816&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","07/01/2016"
"242174","Policy Writer - 242174","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242174&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Strategic Resource Mgt-P&P","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","06/13/2016"
"242175","Supervising Budget Analyst Early Care &Education - 242175","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242175&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Dpty Comm Fnancl Svcs-Finance","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","06/09/2016"
"241003","Directory Services Support - 241003","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=241003&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","05/19/2016"
"239204","Child Welfare Analyst - 239204","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239204&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","SRM","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","05/17/2016"
"239551","Asset Management Specialist - 239551","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239551&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","05/13/2016"
"239048","APA Foster Care Program Evaluator - 239048","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239048&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Agy Program Assistance (DPPM)","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","05/10/2016"
"239052","Child Welfare Trainer - 239052","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239052&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Satterwhite Academy (DPPM)","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","05/02/2016"
"237577","Senior Budget Analyst - 237577","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=237577&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Dpty Comm Fnancl Svcs-Finance","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","04/05/2016"
"237576","Deputy Budget Director - 237576","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=237576&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Dpty Comm Fnancl Svcs-Finance","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","04/04/2016"
"234203","Business and Data Analyst Manager - 234203","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=234203&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Asst Comm Bdgt & Clmng-Financ","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","03/04/2016"
"231945","Quality Improvement Specialist - 231945","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=231945&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","DYFJ Central","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","02/26/2016"
"228550","Director of Senior Practice Consultation - 228550","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=228550&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Dpty Comm Fmly Prmncy Svcs-Fps","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","01/22/2016"
"187714","Network Engineer I LAN/WAN - 187714","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=187714&PostingSeq=1&","067","ADMINISTRATION FOR CHILDRE","Mis Admin,Network Sysms Dvlpmt","NYC-ALL BOROS","ADMIN FOR CHILDREN'S SVCS","03/30/2015"
"441278","Director of Information Technology - 441278","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441278&PostingSeq=1&","073","BOARD OF CORRECTIONS","Board Staff","NYC-ALL BOROS","BOARD OF CORRECTION","07/01/2020"
"315940","Standards Specialist (Monitor) - 315940","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=315940&PostingSeq=1&","073","BOARD OF CORRECTIONS","Board Staff","NYC-ALL BOROS","BOARD OF CORRECTION","12/11/2017"
"441113","Speechwriter - 441113","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441113&PostingSeq=1&","010","BOROUGH PRESIDENT-MANHATTA","Comm/Press","MANHATTAN","PRESIDENT BOROUGH OF MANHATTAN","06/17/2020"
"404501","City Planner - 404501","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=404501&PostingSeq=1&","013","BOROUGH PRESIDENT-QUEENS","Borough President - Queens","QUEENS","BOROUGH PRESIDENT-QUEENS","08/15/2019"
"390020","Assistant Counsel - 390020","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=390020&PostingSeq=1&","013","BOROUGH PRESIDENT-QUEENS","Borough President - Queens","QUEENS","BOROUGH PRESIDENT-QUEENS","04/09/2019"
"386195","Engineering - 386195","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=386195&PostingSeq=1&","013","BOROUGH PRESIDENT-QUEENS","Borough President - Queens","QUEENS","BOROUGH PRESIDENT-QUEENS","03/11/2019"
"384958","Topographical - 384958","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=384958&PostingSeq=1&","013","BOROUGH PRESIDENT-QUEENS","Borough President - Queens","QUEENS","BOROUGH PRESIDENT-QUEENS","02/27/2019"
"403522","Agency Attorney - 403522","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=403522&PostingSeq=1&","831","BUSINESS INTEGRITY COMMISS","Default","MANHATTAN","BUSINESS INTEGRITY COMMISSION","08/07/2019"
"403516","Executive Agency Counsel - 403516","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=403516&PostingSeq=1&","831","BUSINESS INTEGRITY COMMISS","Default","MANHATTAN","BUSINESS INTEGRITY COMMISSION","08/07/2019"
"361229","Salesforce Specialist - 361229","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=361229&PostingSeq=1&","831","BUSINESS INTEGRITY COMMISS","Default","MANHATTAN","BUSINESS INTEGRITY COMMISSION","08/21/2018"
"357984","Computer Systems Manager - 357984","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=357984&PostingSeq=1&","831","BUSINESS INTEGRITY COMMISS","Default","MANHATTAN","BUSINESS INTEGRITY COMMISSION","08/08/2018"
"440193","Investigator Level 1 - 440193","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440193&PostingSeq=1&","054","CIVILIAN COMPLAINT REVIEW","Civilian Complaint Review Bd","NYC-ALL BOROS","CIVILIAN COMPLAINT REVIEW BD","06/24/2020"
"441231","Records Access Officer - 441231","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441231&PostingSeq=1&","054","CIVILIAN COMPLAINT REVIEW","Civilian Complaint Review Bd","NYC-ALL BOROS","CIVILIAN COMPLAINT REVIEW BD","06/24/2020"
"439196","Human Rights Specialist (Infoline) - 439196","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439196&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Law Enforc.Bureau Executive","MANHATTAN","HUMAN RIGHTS COMMISSION","04/01/2020"
"439200","Supervising Attorney-Discrimination in Housing & Public Accommodations - 439200","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439200&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Law Enforc.Bureau Executive","NYC-ALL BOROS","HUMAN RIGHTS COMMISSION","04/01/2020"
"432978","Agency Attorney 2 - 432978","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432978&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Law Enforc.Bureau Executive","NYC-ALL BOROS","HUMAN RIGHTS COMMISSION","02/10/2020"
"432997","Agency Attorney I - Early Intervention Unit - 432997","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432997&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Law Enforc.Bureau Executive","MANHATTAN","HUMAN RIGHTS COMMISSION","02/10/2020"
"431033","Program & Policy Specialist for Racial and Restorative Justice - 431033","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431033&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Executive","MANHATTAN","HUMAN RIGHTS COMMISSION","01/29/2020"
"424572","Procurement & Compliance Analyst - 424572","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424572&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Budget Division","MANHATTAN","HUMAN RIGHTS COMMISSION","12/02/2019"
"423941","Agency Attorney I - 423941","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=423941&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Law Enforc.Bureau Executive","MANHATTAN","HUMAN RIGHTS COMMISSION","11/22/2019"
"421783","Agency Attorney 1 - 421783","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=421783&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Law Enforc.Bureau Executive","NYC-ALL BOROS","HUMAN RIGHTS COMMISSION","11/04/2019"
"419921","Associate Human Rights Specialist - 419921","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=419921&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Comm.Rel.Bureau-Central","BRONX","HUMAN RIGHTS COMMISSION","10/21/2019"
"416057","Information Technology Program Director - 416057","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416057&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Administrative Services.","MANHATTAN","HUMAN RIGHTS COMMISSION","10/08/2019"
"415862","Supervising Attorney-Employment - 415862","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415862&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Law Enforc.Bureau Executive","NYC-ALL BOROS","HUMAN RIGHTS COMMISSION","10/08/2019"
"405753","Discriminatory Harassment Investigator - 405753","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=405753&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Comm.Rel.Bureau-Central","QUEENS","HUMAN RIGHTS COMMISSION","08/13/2019"
"384600","SUPERVISING ATTORNEY - 384600","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=384600&PostingSeq=1&","226","COMMISSION ON HUMAN RIGHTS","Law Enforc.Bureau Executive","NYC-ALL BOROS","HUMAN RIGHTS COMMISSION","02/21/2019"
"413319","DEPUTY DIRECTOR, PARTNERSHIPS AND COMMUNICATIONS - 413319","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=413319&PostingSeq=1&","801","DEPARTMENT OF BUSINESS SER","Wib","MANHATTAN","DEPARTMENT OF BUSINESS SERV.","09/23/2019"
"413325","PROJECT MANAGER - 413325","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=413325&PostingSeq=1&","801","DEPARTMENT OF BUSINESS SER","Wib","MANHATTAN","DEPARTMENT OF BUSINESS SERV.","09/23/2019"
"441255","Contract Auditor - 441255","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441255&PostingSeq=1&","868","DEPARTMENT OF CITYWIDE ADM","OCP/Performance Mgt & Analysis","NYC-ALL BOROS","DEPT OF CITYWIDE ADMIN SVCS","06/23/2020"
"440530","Staff Counsel - 440530","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440530&PostingSeq=1&","866","DEPARTMENT OF CONSUMER AFF","General Counsel’s Office","MANHATTAN","CONSUMER AFFAIRS","05/22/2020"
"435122","Senior Application Developer - 435122","https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435122&PostingSeq=1&","866","DEPARTMENT OF CONSUMER AFF","Tech & Strategic Solutions","MANHATTAN","CONSUMER AFFAIRS","02/24/2020"
