HiringAgency,jobLink,jobNum,Job ID,Business Title,Civil Service Title,Title Classification,Job Category,Career Level,Work Location,Division/Work Unit,# of Positions,Title Code No,Level,Proposed Salary Range,POSTING DATE,POST UNTIL
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416567&PostingSeq=1,416567,416567,Legal Counsel Unit Agency Attorney,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,Experienced (non-manager),"150 William Street, New York N",Legal Counsel,1,30087,02,"$ 71,423.00 - $ 82,137.00 (Annual)",2019-10-21,2021-02-06
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=411305&PostingSeq=1,411305,411305,Fair Hearings & Compliance Unit Agency Attorney,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,Experienced (non-manager),"150 William Street, New York N",Fair Hearing (Gc),1,30087,03,"$ 77,114.00 - $ 88,681.00 (Annual)",2019-09-06,2021-01-15
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=400531&PostingSeq=1,400531,400531,Deputy Director for Child Welfare Reporting,CITY RESEARCH SCIENTIST,Non-Competitive,Social Services,Experienced (non-manager),"150 William Street, New York N",SRM: Elig/Rpt/Sys Spprt-P&P,1,21744,02,"$ 73,305.00 - $ 86,288.00 (Annual)",2019-07-24,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=399110&PostingSeq=1,399110,399110,Director of Claiming & Revenue,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement",Experienced (non-manager),"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ,1,1002E,00,"$ 65,107.00 - $125,405.00 (Annual)",2019-06-26,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=367427&PostingSeq=1,367427,367427,Senior Analyst,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement",Experienced (non-manager),"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ,1,1002A,00,"$ 62,862.00 - $ 85,143.00 (Annual)",2018-10-02,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=246734&PostingSeq=1,246734,246734,Compliance Review Unit Supervisor,ASSOCIATE STAFF ANALYST,Competitive,"Finance, Accounting, & Procurement",Experienced (non-manager),"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ,1,12627,00,"$ 63,817.00 - $ 95,022.00 (Annual)",2016-08-05,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=230974&PostingSeq=1,230974,230974,Best Practices Coach,CHILD AND FAMILY SPECIALIST,Competitive,Social Services,Experienced (non-manager),"150 William Street, New York N",Not Listed,7,52408,00,"$ 66,000.00 - $ 89,008.00 (Annual)",2016-08-04,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=243640&PostingSeq=1,243640,243640,Juvenile Justice Trainer,ADMINISTRATIVE DIRECTOR OF RES,Competitive,Social Services,Manager,"492 First Avenue, New York, Ny",Not Listed,2,10016,M1,"$ 53,051.00 - $145,991.00 (Annual)",2016-07-08,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=243816&PostingSeq=1,243816,243816,IT Infrastructure Project Manager,COMPUTER SPECIALIST (SOFTWARE),Competitive,"Technology, Data & Innovation",Manager,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",1,13632,01,"$ 74,066.00 - $ 92,308.00 (Annual)",2016-07-01,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242174&PostingSeq=1,242174,242174,Policy Writer,AGENCY ATTORNEY,Non-Competitive,"Legal Affairs, Policy, Research & Analysis",Experienced (non-manager),"150 William Street, New York N",Strategic Resource Mgt-P&P,2,30087,01,"$ 57,005.00 - $ 87,027.00 (Annual)",2016-06-13,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242175&PostingSeq=1,242175,242175,Supervising Budget Analyst Early Care &Education,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement",Experienced (non-manager),"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance,1,1002A,00,"$ 61,031.00 - $ 95,022.00 (Annual)",2016-06-09,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=241003&PostingSeq=1,241003,241003,Directory Services Support,COMPUTER ASSOC (SOFTWARE),Competitive,"Technology, Data & Innovation",Experienced (non-manager),"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",1,13631,01,"$ 60,189.00 - $ 83,440.00 (Annual)",2016-05-19,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239204&PostingSeq=1,239204,239204,Child Welfare Analyst,CITY RESEARCH SCIENTIST,Non-Competitive,"Technology, Data & Innovation, Policy, Research & Analysis, Social Services",Experienced (non-manager),"150 William Street, New York N",SRM: Elig/Rpt/Sys Spprt-P&P,1,21744,02,"$ 68,239.00 - $ 85,644.00 (Annual)",2016-05-17,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239551&PostingSeq=1,239551,239551,Asset Management Specialist,COMPUTER ASSOC (TECH SUPP),Competitive,Social Services,Student,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",1,13611,01,"$ 46,405.00 - $ 67,568.00 (Annual)",2016-05-13,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239048&PostingSeq=1,239048,239048,APA Foster Care Program Evaluator,PROGRAM EVALUATOR (ACS),Competitive,"Policy, Research & Analysis, Social Services",Experienced (non-manager),"150 William Street, New York N",Not Listed,1,52416,00,"$ 60,049.00 - $ 89,008.00 (Annual)",2016-05-10,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239052&PostingSeq=1,239052,239052,Child Welfare Trainer,COMMUNITY COORDINATOR,Non-Competitive,"Constituent Services & Community Programs, Social Services",Experienced (non-manager),"492 First Avenue, New York, Ny",Not Listed,1,56058,00,"$ 48,895.00 - $ 75,900.00 (Annual)",2016-05-02,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=237577&PostingSeq=1,237577,237577,Senior Budget Analyst,ASSOCIATE STAFF ANALYST,Competitive,"Finance, Accounting, & Procurement",Experienced (non-manager),"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance,1,12627,00,"$ 63,817.00 - $ 95,022.00 (Annual)",2016-04-05,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=237576&PostingSeq=1,237576,237576,Deputy Budget Director,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement",Experienced (non-manager),"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance,1,1002D,00,"$ 58,675.00 - $156,793.00 (Annual)",2016-04-04,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=234203&PostingSeq=1,234203,234203,Business and Data Analyst Manager,ASSOCIATE STAFF ANALYST,Competitive,"Finance, Accounting, & Procurement",Experienced (non-manager),"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ,1,12627,00,"$ 63,817.00 - $ 95,022.00 (Annual)",2016-03-04,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=231945&PostingSeq=1,231945,231945,Quality Improvement Specialist,COMMUNITY COORDINATOR,Non-Competitive,"Constituent Services & Community Programs, Social Services",Experienced (non-manager),"150 William Street, New York N",DYFJ Central,9,56058,00,"$ 48,895.00 - $ 75,900.00 (Annual)",2016-02-26,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=228550&PostingSeq=1,228550,228550,Director of Senior Practice Consultation,ADMINISTRATIVE DIRECTOR OF SOC,Competitive,Social Services,Manager,"150 William Street, New York N",Dpty Comm Fmly Prmncy Svcs-Fps,6,10056,M2,"$ 58,675.00 - $ 95,000.00 (Annual)",2016-01-22,3020-01-01
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=187714&PostingSeq=1,187714,187714,Network Engineer I LAN/WAN,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",1,13641,01,"$ 72,260.00 - $ 98,163.00 (Annual)",2015-03-30,3020-01-01
BOARD OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=456331&PostingSeq=1,456331,456331,General Counsel,COUNSEL (BOARD OF CORRECTION),Non-Competitive,"Legal Affairs, Policy, Research & Analysis",Manager,"1 Centre Street Ny, Ny",Board Staff,1,30090,M3,"$150,000.00 - $170,000.00 (Annual)",2021-01-06,2021-02-05
BOARD OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441278&PostingSeq=1,441278,441278,Director of Information Technology,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation",Manager,"1 Centre Street Ny, Ny",Board Staff,1,10050,M1,"$120,000.00 - $150,000.00 (Annual)",2020-07-01,2021-06-24
BUSINESS INTEGRITY COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=403522&PostingSeq=1,403522,403522,Agency Attorney,AGENCY ATTORNEY,Non-Competitive,"Legal Affairs, Public Safety, Inspections, & Enforcement",Experienced (non-manager),"100 Church St., N.Y.",Default,2,30087,01,"$ 70,000.00 - $ 80,000.00 (Annual)",2019-08-07,3020-01-01
BUSINESS INTEGRITY COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=403516&PostingSeq=1,403516,403516,Executive Agency Counsel,EXECUTIVE AGENCY COUNSEL,Non-Competitive,"Legal Affairs, Public Safety, Inspections, & Enforcement",Manager,"100 Church St., N.Y.",Default,2,95005,M3,"$ 90,000.00 - $100,000.00 (Annual)",2019-08-07,3020-01-01
BUSINESS INTEGRITY COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=361229&PostingSeq=1,361229,361229,Salesforce Specialist,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation",Experienced (non-manager),"100 Church St., N.Y.",Default,1,10050,M1,"$ 54,643.00 - $ 85,000.00 (Annual)",2018-08-21,3020-01-01
BUSINESS INTEGRITY COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=357984&PostingSeq=1,357984,357984,Computer Systems Manager,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation",Experienced (non-manager),"100 Church St., N.Y.",Default,1,10050,M1,"$ 80,000.00 - $ 85,000.00 (Annual)",2018-08-08,3020-01-01
CIVILIAN COMPLAINT REVIEW BD,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=451265&PostingSeq=1,451265,451265,Investigator Level 1,INVESTIGATOR (CCRB),Non-Competitive,"Legal Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement",Entry-Level,"100 Church St., N.Y.",Civilian Complaint Review Bd,10,31165,01,"$ 42,293.00 - $ 63,702.00 (Annual)",2020-12-07,3020-01-01
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441992&PostingSeq=1,441992,441992,Chief of Staff,DEPUTY EXECUTIVE DIRECTOR (COM,Non-Competitive,"Constituent Services & Community Programs, Communications & Intergovernmental Affairs, Policy, Research & Analysis",Manager,"22 Reade St, Ny",Executive,1,55085,M1,"$ 58,700.00 - $161,534.00 (Annual)",2020-07-22,3020-01-01
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439196&PostingSeq=1,439196,439196,Human Rights Specialist (Infoline),HUMAN RIGHTS SPECIALIST (COMM,Non-Competitive,"Constituent Services & Community Programs, Social Services",Experienced (non-manager),"22 Reade St, Ny",Law Enforc.Bureau Executive,2,55018,00,"$ 49,371.00 - $ 56,777.00 (Annual)",2020-04-01,3020-01-01
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439200&PostingSeq=1,439200,439200,Supervising Attorney-Discrimination in Housing & Public Accommodations,EXECUTIVE AGENCY COUNSEL,Non-Competitive,Legal Affairs,Manager,"22 Reade St, Ny",Law Enforc.Bureau Executive,1,95005,M1,"$ 58,700.00 - $ 95,000.00 (Annual)",2020-04-01,3020-01-01
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432978&PostingSeq=1,432978,432978,Agency Attorney 2,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,Experienced (non-manager),"22 Reade St, Ny",Law Enforc.Bureau Executive,2,30087,02,"$ 71,423.00 - $ 82,137.00 (Annual)",2020-02-10,3020-01-01
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432997&PostingSeq=1,432997,432997,Agency Attorney I - Early Intervention Unit,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,Entry-Level,"22 Reade St, Ny",Law Enforc.Bureau Executive,1,30087,01,"$ 63,228.00 - $ 72,712.00 (Annual)",2020-02-10,3020-01-01
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431033&PostingSeq=1,431033,431033,Program & Policy Specialist for Racial and Restorative Justice,ASSOCIATE HUMAN RIGHTS SPECIAL,Competitive,Constituent Services & Community Programs,Experienced (non-manager),"22 Reade St, Ny",Executive,1,55038,01,"$ 58,449.00 - $ 67,216.00 (Annual)",2020-01-29,3020-01-01
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424572&PostingSeq=1,424572,424572,Procurement & Compliance Analyst,COMMUNITY COORDINATOR,Non-Competitive,"Finance, Accounting, & Procurement",Experienced (non-manager),"22 Reade St, Ny",Budget Division,1,56058,00,"$ 54,100.00 - $ 80,000.00 (Annual)",2019-12-02,3020-01-01
