HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=246734&PostingSeq=1&,246734,246734,1,Compliance Review Unit Supervisor,12627,00,ASSOCIATE STAFF ANALYST,Competitive,"Finance, Accounting, & Procurement","$ 63,817.00 - $ 95,022.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ,08/05/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=230974&PostingSeq=1&,230974,230974,7,Best Practices Coach,52408,00,CHILD AND FAMILY SPECIALIST,Competitive,Social Services,"$ 66,000.00 - $ 89,008.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Off Prev Tech Assistance (DPS),08/04/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=243640&PostingSeq=1&,243640,243640,2,Juvenile Justice Trainer,10016,M1,ADMINISTRATIVE DIRECTOR OF RES,Competitive,Social Services,"$ 53,051.00 - $145,991.00 (Annual)",Manager,"492 First Avenue, New York, Ny",Satterwhite Academy (DPPM),07/08/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=243816&PostingSeq=1&,243816,243816,1,IT Infrastructure Project Manager,13632,01,COMPUTER SPECIALIST (SOFTWARE),Competitive,"Technology, Data & Innovation","$ 74,066.00 - $ 92,308.00 (Annual)",Manager,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",07/01/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242174&PostingSeq=1&,242174,242174,2,Policy Writer,30087,01,AGENCY ATTORNEY,Non-Competitive,"Legal Affairs, Policy, Research & Analysis","$ 57,005.00 - $ 87,027.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Strategic Resource Mgt-P&P,06/13/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242175&PostingSeq=1&,242175,242175,1,Supervising Budget Analyst Early Care &Education,1002A,00,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement","$ 61,031.00 - $ 95,022.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance,06/09/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=241003&PostingSeq=1&,241003,241003,1,Directory Services Support,13631,01,COMPUTER ASSOC (SOFTWARE),Competitive,"Technology, Data & Innovation","$ 60,189.00 - $ 83,440.00 (Annual)",Experienced (non-manager),"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",05/19/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239204&PostingSeq=1&,239204,239204,1,Child Welfare Analyst,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,"Technology, Data & Innovation, Policy, Research & Analysis, Social Services","$ 68,239.00 - $ 85,644.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",SRM: Elig/Rpt/Sys Spprt-P&P,05/17/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239551&PostingSeq=1&,239551,239551,1,Asset Management Specialist,13611,01,COMPUTER ASSOC (TECH SUPP),Competitive,Social Services,"$ 46,405.00 - $ 67,568.00 (Annual)",Student,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",05/13/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239048&PostingSeq=1&,239048,239048,1,APA Foster Care Program Evaluator,52416,00,PROGRAM EVALUATOR (ACS),Competitive,"Policy, Research & Analysis, Social Services","$ 60,049.00 - $ 89,008.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Agy Program Assistance (DPPM),05/10/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=239052&PostingSeq=1&,239052,239052,1,Child Welfare Trainer,56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Constituent Services & Community Programs, Social Services","$ 48,895.00 - $ 75,900.00 (Annual)",Experienced (non-manager),"492 First Avenue, New York, Ny",Satterwhite Academy (DPPM),05/02/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=237577&PostingSeq=1&,237577,237577,1,Senior Budget Analyst,12627,00,ASSOCIATE STAFF ANALYST,Competitive,"Finance, Accounting, & Procurement","$ 63,817.00 - $ 95,022.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance,04/05/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=237576&PostingSeq=1&,237576,237576,1,Deputy Budget Director,1002D,00,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Finance, Accounting, & Procurement","$ 58,675.00 - $156,793.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance,04/04/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=234203&PostingSeq=1&,234203,234203,1,Business and Data Analyst Manager,12627,00,ASSOCIATE STAFF ANALYST,Competitive,"Finance, Accounting, & Procurement","$ 63,817.00 - $ 95,022.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ,03/04/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=231945&PostingSeq=1&,231945,231945,9,Quality Improvement Specialist,56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Constituent Services & Community Programs, Social Services","$ 48,895.00 - $ 75,900.00 (Annual)",Experienced (non-manager),"150 William Street, New York N",DYFJ Central,02/26/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=228550&PostingSeq=1&,228550,228550,6,Director of Senior Practice Consultation,10056,M2,ADMINISTRATIVE DIRECTOR OF SOC,Competitive,Social Services,"$ 58,675.00 - $ 95,000.00 (Annual)",Manager,"150 William Street, New York N",Dpty Comm Fmly Prmncy Svcs-Fps,01/22/2016,Until Filled
ADMIN FOR CHILDREN'S SVCS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=187714&PostingSeq=1&,187714,187714,1,Network Engineer I LAN/WAN,13641,01,Not Listed,Not Listed,"Technology, Data & Innovation","$ 72,260.00 - $ 98,163.00 (Annual)",Experienced (non-manager),"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",03/30/2015,Until Filled
BOARD OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441278&PostingSeq=1&,441278,441278,1,Director of Information Technology,10050,M1,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation","$120,000.00 - $150,000.00 (Annual)",Manager,"1 Centre Street Ny, Ny",Board Staff,07/01/2020,06/24/2021
BOARD OF CORRECTION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=315940&PostingSeq=1&,315940,315940,3,Standards Specialist (Monitor),52615,02,CORRECTIONAL STANDARDS REVIEW,Non-Competitive,"Policy, Research & Analysis, Public Safety, Inspections, & Enforcement, Social Services","$ 57,065.00 - $ 65,625.00 (Annual)",Experienced (non-manager),"1 Centre Street Ny, Ny",Board Staff,12/11/2017,12/11/2021
PRESIDENT BOROUGH OF MANHATTAN,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441735&PostingSeq=1&,441735,441735,1,Speechwriter,60816,02,ASSOCIATE PUBLIC INFORMATION,Competitive,Communications & Intergovernmental Affairs,"$ 72,500.00 - $ 72,500.00 (Annual)",Experienced (non-manager),"1 Centre St., N.Y.",Comm/Press,07/14/2020,Until Filled
BOROUGH PRESIDENT-QUEENS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=404501&PostingSeq=1&,404501,404501,1,City Planner,22122,01,CITY PLANNER,Competitive,"Engineering, Architecture, & Planning","$ 53,600.00 - $ 77,410.00 (Annual)",Entry-Level,"120-55 Queens Blvd, Queens Ny",Borough President - Queens,08/15/2019,Until Filled
BOROUGH PRESIDENT-QUEENS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=390020&PostingSeq=1&,390020,390020,1,Assistant Counsel,30086,00,AGENCY ATTORNEY INTERNE,Non-Competitive,Legal Affairs,"$ 57,944.00 - $ 70,353.00 (Annual)",Entry-Level,"120-55 Queens Blvd, Queens Ny",Borough President - Queens,04/09/2019,Until Filled
BOROUGH PRESIDENT-QUEENS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=386195&PostingSeq=1&,386195,386195,1,Engineering,20215,01,CIVIL ENGINEER,Competitive,"Engineering, Architecture, & Planning","$ 65,783.00 - $ 95,270.00 (Annual)",Experienced (non-manager),"120-55 Queens Blvd, Queens Ny",Borough President - Queens,03/11/2019,Until Filled
BOROUGH PRESIDENT-QUEENS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=384958&PostingSeq=1&,384958,384958,1,Topographical,20113,01,ENGINEERING TECHNICIAN,Competitive,"Engineering, Architecture, & Planning","$ 37,796.00 - $ 49,035.00 (Annual)",Entry-Level,"120-55 Queens Blvd, Queens Ny",Borough President - Queens,02/27/2019,Until Filled
BUSINESS INTEGRITY COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=403522&PostingSeq=1&,403522,403522,2,Agency Attorney,30087,01,AGENCY ATTORNEY,Non-Competitive,"Legal Affairs, Public Safety, Inspections, & Enforcement","$ 70,000.00 - $ 80,000.00 (Annual)",Experienced (non-manager),"100 Church St., N.Y.",Default,08/07/2019,Until Filled
BUSINESS INTEGRITY COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=403516&PostingSeq=1&,403516,403516,2,Executive Agency Counsel,95005,M3,EXECUTIVE AGENCY COUNSEL,Non-Competitive,"Legal Affairs, Public Safety, Inspections, & Enforcement","$ 90,000.00 - $100,000.00 (Annual)",Manager,"100 Church St., N.Y.",Default,08/07/2019,Until Filled
BUSINESS INTEGRITY COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=361229&PostingSeq=1&,361229,361229,1,Salesforce Specialist,10050,M1,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation","$ 54,643.00 - $ 85,000.00 (Annual)",Experienced (non-manager),"100 Church St., N.Y.",Default,08/21/2018,Until Filled
BUSINESS INTEGRITY COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=357984&PostingSeq=1&,357984,357984,1,Computer Systems Manager,10050,M1,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation","$ 80,000.00 - $ 85,000.00 (Annual)",Experienced (non-manager),"100 Church St., N.Y.",Default,08/08/2018,Until Filled
CIVILIAN COMPLAINT REVIEW BD,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440193&PostingSeq=1&,440193,440193,8,Investigator Level 1,31165,01,INVESTIGATOR (CCRB),Non-Competitive,"Communications & Intergovernmental Affairs, Legal Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 42,293.00 - $ 63,702.00 (Annual)",Entry-Level,"100 Church St., N.Y.",Civilian Complaint Review Bd,06/24/2020,Until Filled
CIVILIAN COMPLAINT REVIEW BD,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441231&PostingSeq=1&,441231,441231,2,Records Access Officer,30087,01,AGENCY ATTORNEY,Non-Competitive,"Constituent Services & Community Programs, Legal Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 63,228.00 - $ 80,000.00 (Annual)",Experienced (non-manager),"100 Church St., N.Y.",Civilian Complaint Review Bd,06/24/2020,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439196&PostingSeq=1&,439196,439196,2,Human Rights Specialist (Infoline),55018,00,HUMAN RIGHTS SPECIALIST (COMM,Non-Competitive,"Constituent Services & Community Programs, Social Services","$ 49,371.00 - $ 56,777.00 (Annual)",Experienced (non-manager),"22 Reade St, Ny",Law Enforc.Bureau Executive,04/01/2020,Until Filled
HUMAN RIGHTS COMMISSION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439200&PostingSeq=1&,439200,439200,1,Supervising Attorney-Discrimination in Housing & Public Accommodations,95005,M1,EXECUTIVE AGENCY COUNSEL,Non-Competitive,Legal Affairs,"$ 58,700.00 - $ 95,000.00 (Annual)",Manager,"22 Reade St, Ny",Law Enforc.Bureau Executive,04/01/2020,Until Filled
